claims_verbatim,trump_stance
"we want education, not deportation!; power to the people, no one is illegal!; fight trump; fuck ice; no taxation without representation; fight trump / legalization, not deportations; no one is illegal on stolen land; mexico flag; defend palestine; yo grito por lo que otros callan; chinga la migra; remember that immigrants feed america / no mass deportation; proud son of an immigrant; no one's illegal on stolen land; boot the banditos; hands off my community; we belong; daca is not over in tx we'll fight to save daca; trans pride flag; we fight back for women's liberation; the people united will defend immigrant families; armenia flag; together we are powerful / juntos tenemos el poder; puerto rico flag",Unclear
resistance is justified when people are occupied; the people will be trump's billionaire agenda,Anti-Trump
"all power to the people / down with trump's racist agenda; arms embargo now; stop police crimes / community control of police; hands off our bodies / defend women's, lgbtqia+, and reproductive rights; no one is illegal / immigrant rights and legalization for all; close rikers now",Unclear
"pan-african flag; donald trump is scared of us!; on mlk day, fight police terror, racism, poverty, fascism, war, and state deportations",Unclear
"we say no to the billionaire agenda; palestine flag; the palestinian people have the right to go home; stop scapegoating immigrants; ceasefire today / liberation tomorrow / fuck israel; palestine will be free; free all palestinian political prisoners; money for people's needs not the war machine / we fight back; the people will defeat trump's extreme-right agenda; culpar a las guerras de eeuu, no a los inmigrantes / blame u.s. wars, not immigrants; end all u.s. aid to israel; from the river to the sea palestine will be free; arms embargo now; workers should have power not the billionaires; stand with palestine / end the occupation now; u.s. out of korea; love not hate makes america great; israel bombs / usa pays / maersk delivers; free palestine now [poppy]; free all palestinian prisoners; ""those who don't build must burn""; full citizenship rights for all immigrants; yanqui imperialism hands off latin america; black liberation through socialist revolution; defend immigrant students; labor commitee to defend immigrants; ice out of nyc; ice out of our communities; shut down the anti-immigrant laken riley act; eat the rich; i am no longer accepting the things i cannot change, i am changing the things i cannot accept. -audre lorde; ceasefire is the floor / liberation is the ceiling / we fight back; end all u.s. aid to apartheid israel; lift the siege on gaza now; feminists for a free palestine; u.s. out of puerto rico; puerto rico flag; fuck trump [trans pride flag]; there is only one solution! intifada revolution!; say it loud and say it clear! immigrants are welcome here!; stop u.s. aid for palestinian genocide; this is why we are marching; better a faggot than a fascist; americans against mass deportations; the strong women told the faggots two important things to remember about the coming revolution. the first is that we will get our asses kicked. the second is that we will win.; popular front for the liberation of palestine/palestine flag; free free palestine!; trump is a symptom / capitalism is the disease; victory to the palestinian resistance; silence = violence; i believe that we will win!; democracy is on fire (literally); from ireland to palestine occupation is a crime; they got money for war but can't feed the poor -2pac; socialism for the rich / rugged individualism for the rest",Anti-Trump
"free, free palestine; arms embargo now / stop bombing lebanon; liberation for palestinians / no more u.s. $$$ for israeli military; palestine flag; king's dream lives; third world liberation from oakland to palestine; union strong; big oil fuels war / dictators / oppression; you can help feed families in gaza; the children are always ours / every single one of them / all over the globe; from the u.s. to palestine / let our children be free; stand with the resistance; rise up against genocide; end police terror; cease fire; queer intifada; makibaka; jews against state sponsored terror; trump is a nazi [swastika]; protect trans kids [knives]; stop arming israel; we say fight; silence is violence; revolution starts in your community; filipinos fight fascism; no jails on stolen land; mlk > trump; stop repeating history [fence]; we the people have had enough; we say fight back; free palestine; james rivera, say his name! james rivera!; invest in oakland youth; no borders / no walls / no prisons; stop cop nation; youth power; we keep each other safe; stop policing oakland; fuck money we want love; resistance is town bizness; this is our land [monarch butterfly]; demand racial justice and safety for all; youth power; immigrants are the future; disability is beloved; free leonard peltier",Anti-Trump
they say go back! we say fight back!; hey hey ho ho! the trump agenda has got to go!; u.s. out of the middle east / no war but class war; end u.s. aid to israel,Anti-Trump
"honor mlk / fight back against the 3 evils: racism, poverty & war; keep talking about palestine; the people united will defend immigrant families; unite and fight for queer and trans liberation; money for homes and education, not for war and deportations!; i will not go quietly; trans rights are human rights; money for people's needs not the war machine; disabled people deserve access; resist; defend lgbtq rights / fight back; when spiders unite, they can tie up a lion; build a bigger table, not a taller wall; all ate and were satisfied; keep your laws off my body; mass deportation = / loss of billions in taxes / loss of gdp / separation of families / labor shortages / loss of business income / higher prices / loss of talent/innovation / failed businesses; ""you shall not wrong a stranger or oppress him."" exodus 22:21; thoughts and prayers [strikethrough] action  and change; stop the bombs; the people will defeat trump's billionaire agenda; the people will defeat trump's extreme-right agenda; fight bigotry & division - not trans people; if trump pardons the j6 criminals, he will be aiding + abetting insurrectionists - disqualifying him from holding public office; do justice / love mercy / walk humbly",Anti-Trump
"reclaim mlk day / in justice anywhere is a threat to justice everywhere. -dr. martin luther king jr.; portland raging grannies say equal justice for all; blm; you're fired, donny boy; protect trans rights; the people will defeat trump's billionaire agenda; money for people's needs not the war machine; palestine flag; workers should have power not the billionaires; hands up! don't shoot!; portland raging grannies say people before profits; black lives matter",Pro-Trump
"the people united will never be defeated!; dinero para el pueblo, on para laos multimillionarios; palestine flag; people before profit; the people will defeat trump's extreme-right agenda; money for people's needs not the war machine; u.s./israel hands off the middle east; the people united will defend immigrant families; fight fascism; workers should have power not the billionaires; elect a clown expect a circus; not my president; tariffs won't lower prices / billionaires don't care about you",Unclear
"abortion rights are here to stay; fight trump / make him pay; palestine flag; ""the time is always right to do what is right."" -mlk jr.; fight trump's agenda",Unclear
el pueblo unido defendera a las familias inmigrantes; el pueblo derrotara la agenda ultraderecha de trump; the people will defeat trump's billionaire agenda; palestine flag; stop attacks on trans rights; mexico flag; money for people's needs not the war machine; mother nature is a feminist; no one is illegal; trans pride flag; fuck the patriarchy; i'd call trump a cunt but he lacks depth and warmth; trump is the symptom / capitalism is the disease / socialism is the cure; mass demonstration not deportation; workers should have power not billionaires; women's rights are human rights; super callous fragile racist extra not my potus; death before detransition; [donald trump's head on a stake],Anti-Trump
fight trump's agenda; no to deportations / no a las deportaciones; legalization for all / solidarity with immigrants; trans rights are human rights; san jose divest from genocide [palestine flag]; united farm workers flag; health care justice for all; divest from alphabet and microsoft; we only lose if we stop fighting; kindness / love / peace / respect / equality / inclusion / diversity / hope; pro america anti trump; no to fascism; one year of genocide / one year of resistance; let's talk about the elephant in the womb [uterus]; protect our right to live / vote / choose / breathe / love / laugh / learn / health / trade; respect existence or expect resistance; love has no borders and no gender; somos gente trabajadora no criminales / no muerdas las que te dan de comer; money for people's needs not the war machine; la voz de los trabajadores / fight with us; defend women's and reproductive rights; say it once say it twice! we won't put up with ice!; women's rights are human rights; no human is illegal; depose the oligarchy now; mexico flag; fight for: / workers' rights / women's rights / immigrant rights / lgbtq rights / a free palestine; we are all immigrants; fuck donald trump; black lives matter; chinga el gringo [donald trump],Anti-Trump
"end u.s. aid to israel; release officer names / community control of the police; el pueblo esta presente!; progress pride flag; when immigrants' rights are under attack what do we do! stand up fight back!; indict, convict, send these killer cops to jail; long live palestine; justice for noe martinez rodriguez; protect immigrants; don't bite the hand that feeds you; california burns, trump drills; no to deportations / no a las deportaciones; the whole damn system is guilty as hell; mlk would be pissed that a holiday based on the oppression of black people was postponed for the inauguration of a racist, misogynistic, homophobic, transphobic, anti-immigrant rapist; protect trans rights; needs brown labor / reject brown neighbor / para todos todo / para nosotros la alegre rebeldia / ezln [red triangle]",Pro-Trump
"hands off lebanon now; money for people's needs not the war machine; the people will defeat trump's extreme right agenda; fight the billionaires not trans people; power to the workers; poder para la clase trabajadora no para los multimillionarios; chinga la migra!; fight racism, poverty, & war; el pueblo derrotara la agenda ultraderecha de trump; ""injustice anywhere is a threat to justice everywhere."" -dr. mlk, jr.; mourn the dead and fight like hell for the living; money for health & education not for war & occupation; palestine will be free; the people united will never be defeated!; el pueblo unido defendera a las familias inmigrantes; gaza resists / gaza remains; palestine flag; fight the fires not the people; free palestine; return the keys and olive trees from the river to the sea; we will return; end all u.s. aid to israel / free palestine / stand with resistance to occupation; trump is the symptom, capitalism is the disease, socialism is the cure; no human is illegal especially on stolen land / abolish ice; venezuela flag; we rise / deny / defend / depose; defend migrant and asylum-seeker dignity; we must persist / we will resist; serbisyo, hindi negosyo / services, not business; jblm out of the philippines; we rise against project 2025",Anti-Trump
"fuck trump; free palestine; make racists afraid again; smash u.s. imperialism, fight for socialist revolution; racists off our campus; zionism is racism; workers unite; republicans & democrats one party of the ruling class; workers unite against fascism; people's revolution; all presidents are imperialists; presidents change, capitalist dictatorship remains; democrat! republican! bombing! killing! making billions!; biden! blinken! kamala! butchers of gaza!; no trump, no kkk, no fascist usa!; working people give them hell! it is right to rebel!",Anti-Trump
"workers should have power not the billionaires; the people united will never be defeated; the people will defeat trump's billionaire agenda; money for people's needs not the war machine; hochul help / i organized and led blm potsdam ny in june 2020. on january 8 2021, two police informants claimed my son terron evans jr. committed suicide in their home in postdam ny. through my foil requests [illegible]; palestine flag; free palestine flag; none of us are free until all of us are free [palestine flag]; stop arming israel; eat the rich; real nyers can handle the cold; support the palestinian people; diplomacy not war; free gaza; viva viva palestina; trans pride flag",Unclear
resistance is justified; protect trans kids; fight for mlk's dream; defend reproductive rights; black lives matter; stop trump; fuck trump; protect immigrants; florida/rainbow pride flag; without immigrants trump would have no wives; no to mass deportation; stand up fight back; all struggles are connected; people/progress over profit; there is no planet b,Anti-Trump
"the people will defend immigrant families; no trump / no kkk / no fascist usa; palestine flag; the people united will defend immigrant families; trans pride flag; palestine flag; upside-down american flag; one struggle one fight! women's rights are workers' rights!; end all u.s. aid to israel; biden-harris: end weapons shipments to israel now; chinga tu maga pendejo; we demand an arms embargo; the people will defeat trump's billionaire agenda; workers should have power not the billionaires; one solution! revolution!; antifascist action flag; hands off venezuela / no to u.s. intervention; end the war on gaza & lebanon; hands off lebanon now; still mad; resist the regime; no hate! no fear! immigrants are welcome here!; build this wall [church] [state]; progress pride flag; stop occupation + genocide / shame; tenants fight back; dreamer defender / no one is illegal on stolen land; keep up the noise; poder para la clase trabajadora, no para los multimillionarios; resistance against occupation is a human right; eat the rich; in 2025 silence is compliance; chinga tu maga pendejo / no mas naranja; trump is a fascist; fuck scotus; without immigrants trump would have no wives; loser [donald trump]; a second serving of orange turd?; i believe that we will win!; my [shit] would make a better president [dog]; no justice, no peace! no racist police!; communist flag; hotties against billionaires / free luigi; money for the people's needs not the war machine",Anti-Trump
"usa flag; trump today! trump tomorrow! trump forever!; terrorists, go away!",Unclear
congratulations president trump; free our patriot brothers & sisters / justice for j6ers & political prisoners; make america great again; fuck antifa flag; trump flag; usa! usa!; proud boys flag; fuck joe biden!; whose streets! our streets!; fuck antifa!; we are back!,Pro-Trump
stop trump's mass deportation / vote no on lake riley; gottheimer shame on you / our families have rights too; when immigrants rights are under attack what do we do? stand up fight back,Anti-Trump
"philippines flag; u.s. out of the philippines; let gaza live; we need health, housing, education; defend migrant rights; defend filipino migrants; upside-down american flag; trump [donald trump with devil's horns]; netanyahu [benjamin netanyahu with devil's horns]; marcos [bongbong marcos with devil's horns]; u.s. imperialists / #1 terrorists; hate doesn't equal great; our government our choice",Anti-Trump
"palestine flag; lebanon flag; save gaza / free palestine; ceasefire now -jews against zionism; no $$$ for la fires / israhell gets billions; free doctor hussam abu safiya; it didn't start 10/7 / look up nakba 1948; free palestine / stop genocide / ceasefire now; palestine needs you / speak up boycott protest; free palestine flag; every time the media lies a little girl in gaza dies!; donald trump, you're a liar! we demand a ceasefire!; from the sea to the river palestine will live forever!",Anti-Trump
no trump no kkk no racist usa!; racist sexist anti gay donald trump go away!; trump hear us loud and clear immigrants are welcome here!; the students united will never be defeated!,Anti-Trump
trump flag; usa flag; trump won / save america; trump 2024 / take america back; trump 2024 / make votes count again; trump vance 2024; gavin newsom sucks; make america great again; don't blame me i voted for trump; thin blue line flag; infowars; israel flag; philippines flag; fight fight fight; recall newsom; gadsden flag,Pro-Trump
make babies great again [donald trump]; don't tread on me [baby]; defund planned parenthood; i am the pro-life generation; child sacrifice dies with us; death is not welcome here; pro-life flag; jesus saves; [cross]; no thanks i choose life; love life; make america great again; make more babies; love life / choose life; our liberation as women cannot be bought by the blood of our children; god will not be mocked; beautiful things take time to grow / every life is worth the wait,Pro-Trump
"the people united will defend immigrant families; stand with palestine; immigrants are good; fight trump's agenda; nobody is illegal on stolen land; defend women's and reproductive rights; ice out; agitate / educate / organize; when killer cops are on patrol what do we need? community control; dinero para el pueblo, no para la guerra; el pueblo unido defendera a las familias migrantes; money for the people's needs not the war machine; progress pride flag; palestine flag; victory to the palestinian resistance; from the river to the sea palestine will be free; legalizacion para todos / no mas deportacion / no one is illegal / ningun es ilegal; when killer cops are on attack what do we do? stand up fight back; workers should have power not the billionaires; el pueblo unido jamas sera vencido; we are a nation of immigrants & refugees; migration is an act of love; protect our families; the police can't police themselves / jail killer cops now; end u.s. aid to israel; trans pride flag; donald trump let's be clear! immigrants are welcome here!",Anti-Trump
palestine flag; syria flag; south africa flag; mexico flag; trump administration fears the people/the masses coming together; money for the people's needs not the war machine; workers should have power not the billionaires; usa/mexico flag; no deportaciones; trump / keep families together / we are essential workers / no deportations / no raids / casa dupage presente; the people will defeat trump's extreme-right agenda; from africa to palestine / oppose war & genocide; we need a new system / fight for socialism; arms embargo now; el pueblo unido / defendera a las familias migrantes; fight the right; victims murdered by illinois police / say their names / tyrone loyal oby; disclose! divest! we will not stop we will not rest!; end the genocide & apartheid / free palestine; protect your daughter [strikethrough] educate your son; the people will end trump's filthy rich agenda; fight the right with working-class struggle; sin lucha no hay victoria; stop pretending your racism is patriotism; cuando la tirania es ley la revolucion es orden; no neo-nazi usa; raid bad guys not families; my students are not criminals / i will not hand them to ice / teachers protect students; la migra / la policia / la misma porqueria; fuck ice; 1572 u.s. politicians are anti-abortion leaders. 1347 of them are men = 85% / 100% of them will never be pregnant; fuck nazi fascism; the u.s. is perpetrating a holocaust / break zionism now; israelis for a free palestine; ice fuera; ecuador flag; keep our schools warm / keep ice out; everything you see you see on purpose [elon musk giving roman salute] [adolph hitler giving roman salute]; open your eyes america / immigrants are not the enemy; todos tenemos el derecho a un futuro mejor; este pais no es nada sin inmigrantes; reject hate / embrace humanity; christians for ceasefire; solo el pueblo salva el pueblo; stop dehumanizing immigrants; trump has more felony convictions that our undocumented hard working immigrants; juntos contra el fascismo; my body my choice; people over profit; the only immigrant i'm afraid of is elon musk,Anti-Trump
"the people united will defend immigrant families; the people will defeat trump's extreme-right agenda; palestine flag; no human is illegal / stop mass deportation; usa flag; progress pride flag; we fight for workers' rights / end unfair labor practices; generation after generation until total liberation [palestine flag]; money for people's needs, not the war machine; no war but class war / deny defend depose; eat shit nazi scum; no trump / no musk / no kkk / no fascist usa; you ban books / you ban drag / kids are still in body bags; what if it was your kids under the rubble?; we fight back; people and planet over profit; we the people reject mass deportation; abajo con colonialismo desde puerto rico a palestina; workers should have power not the billionaires; no ice; men of quality don't fear equality; legal abortion once and for all / we won't go back we will fight back; the students united will defend immigrant families",Anti-Trump
money for jobs and education! not for ice and deportation!; money for farms and education! not for ice and deportation!; up up with liberation! down down with deportation!; donald trump canât you hear! immigrants are welcome here!; no one is illegal on stolen land,Pro-Trump
god loves abortion; fund clinics not war; real doctors tell you all your options; abortion saves lives; abortion rights are here to stay; defend abortion / fight trump; tandem lies; have an abortion (if you want); there will always be abortion; fund abortion not fake clinics; make abortion accessible again; my body my choice; no trump / no kkk / no fascist usa; abortion should be free; fund my abortion; dump trump / save abortion,Anti-Trump
"put ice on ice; mantente firme; laundry is the only thing that should be separated by color; usa/mexico flag; el salvador flag; keep ice out of schools, homes, churches, and hospitals; fuck the police; alto a la separacion de nuestras comunidades / abolish ice; give me your tired, your, poor, your huddled masses yearning to breathe free; ice out of stl; stop separating families; fuck ice; the power of the people is stronger than the people in power; ice out of mo; no one is illegal on stolen land; do not forget to show hospitality to strangers, as thereby some have entertained angels unawares -hebrews 13:2; immigrants welcome / ice is not; make america united again; no trump / no kkk / no fascist usa; mexico flag; no justice! no peace!; immigrants make america great; fix the system don't punish families; free all oppressed people; from palestine to mexico these border walls have got to go; stop the deportation on our families; we keep us safe / protect immigrants; viva mexico flag; americans are immigrants on stolen land",Anti-Trump
history has its eyes on us; even the clowns are fighting; palestine flag; fuck trump; immigrants deserve safety; the only minority destroying the country is the billionaires; eat the rich; save the planet / climate change is real; stop defending fascism; palestine flag; no trump! no kkk! no racist usa!; no ban! no wall! sanctuary for all!,Anti-Trump
families belong together; mexico flag; usa flag; fight ignorance not immigrants; no one is illegal on stolen land; si se puede!; we speak for those who can't; children are dying in u.s. custody; america's roots are immigrant roots / don't forget; stop tearing families apart; you're forgetting the christian part of your nationalism / jesus would never; migrant children have heartbeats too; ice is not cool; que chingue a su madre la migra; viva mexico flag; save education not deportation; people over papers / where's our pardon? / we are not criminals; we raise our voices for immigrants; immigrants are essential; immigrants built the land of the free; mi casa es su casa; immigrants make america great; don't bite the hands that feed you; el salvador flag; honduras flag; melt ice; deport fascists not families [monarch butterfly]; fuck donald trump! fuck donald trump!; you racist piece of shit!; respect our existence or expect our resistance; free palestine!; go to europe!; over-consumption / colonization / greed / self-centered; quiere llorar!; el salvador flag,Anti-Trump
usa flag; trump flag; gadsden flag; make america great again; trump assassination attempt flag; first responders flag; confederate flag; trump won; israel flag,Pro-Trump
"the people united will defend immigrant families; i stand with immigrant essential workers; fuck donald trump; people over profit; the people will defeat trump's billionaire agenda; fight war and racism - not drag queen story hours; dreamers / vital to america / denied a future {monarch butterfly]; jesus is pissed; poder para la clase trabajadora no para los multimillionarios; stop the racist war on refugees and migrants; el pueblo derrotara la agenda ultraderecha de trump; el pueblo unido defendera a las familias migrantes; workers should have power not the billionaires; black lives matter; fight racist anti-union billionaires; no bombs / no war / no trump; mexico flag; bodily autonomy is a human right; palestine flag; lebanon flag; south africa flag; revolution is the solution to capitalist violence / working and oppressed people of the world unite / capitalism = death; money for people's needs not the war machine; resist even in small ways; peace; dr. king wanted an occupation for jobs / power to the people; stand your ground / jail killer cops; fight the racist and reactionary republican agenda; estamos unidos. together we stand. si, se puede; abortion is health care; strike / for abortion rights shut it down / reproductive justice now; part-time jobs don't pay the rent / solidarity with ups teamsters; end gun violence; from palestine to the philippines let's crush the u.s. war machine!; no justice no peace!; respect my existence or expect my resistance; thank you cuba for protecting assata shakur; free free palestine!; build a new anti-war party; south africa flag; healthcare workers against genocide; make the rich pay [anarchy]; speak your mind - even if ur voice shakes; yemen flag; these border walls have got to go!",Anti-Trump
"palestine flag; never say that those martyred in the cause of allah are dead - in fact, they are alive but you do not perceive it; honor the martyrs of palestine [poppy]; liberation & return; free palestine!; resistance is justified when people are occupied; no trump! no kkk! no fascist usa!; cease fire now [dove]",Anti-Trump
trump flag; usa flag; gadsden flag; trump assassination attempt flag; trump won / get over it; make america great again,Pro-Trump
"fox lies democracy dies; fox fuels fear of trans people; fox lies; fox poisoning america [rupert murdoch]; unfit [donald trump]; ""i'm above the law"" [joseph stalin] [vladimir putin] [donald trump] [adolph hitler]; fascist [donald trump]; fox: by and for greedy rich white guys; jews say stop arming israel; fox puts trans kids at risk; fox lies for billionaires; fox is trump tv; 49.8% is not a landslide [donald trump]; presidents are not kings; fox endangers immigrants / fox endangers trans people / fox lies for trump",Anti-Trump
"protect our children; usa flag; we want justice, we want peace!; immigrants make america great; mexico flag; keep ice out of schools / protect our immigrant children; fuck ice; heaven has strict immigration policies / matt 7:33-44; country built on immigrants; no human is illegal on stolen land; children are not criminals; education not deportation / ""speak english this is america"" ooookay...so don't stop them from learning; matthew 22:37-39 ""thou shalt love thy neighbor as thyself""; if you're not angry you're not paying attention; education [does not equal] deportation / get outta here; no one is illegal on stolen land; take guns out of schools not children; 49th in education but you're worried about undocumented children; fuck ice / fuck trump; impeach ryan walters; from paelstine to mexico, all the walls have got to go!; immigrant children are children!; hitler started with mass deportations; being mexican does not make me a criminal; families don't have borders; don't mess with our babies; we speak for those who cant; proud daughter of a strong immigrant; ryan walters is a danger to oklahoma eduaction; dont bite the hand that feeds you; education is a right not a priviledge / protect our kids; education should not be a political issue / children should not be a political issue; attended k-12 as an illegal student now im a nurse / please vote no; the scariest thing in a school should be grades;",Anti-Trump
"there's bigger problems than deporting hard working people; mexico flag; mi papi trabajamas duro que tu presidente / no es un criminal / viva mexico; the united states is built on immigrant labor / don't bite the hand that feeds you; i prefer my ice crushed; la union es la fuerza; no odien las manos que nos alimentan; dreams are not illegal / stop ice now; immigrant [strikethrough] indigenous; no human is illegal; fight ignorance not immigrants; defend and expand immigrant rights; dinero para el pueblo; money for people's needs not the war machine; how can you break apart families / abolish ice; not illegal on our homeland; mis papas trabajan mas que tu presidente; stop the deportation; united farm workers flag; keep families together; we are not afraid; without dreamers there's no america; no human is illegal; el pueblo derrotara la agenda ultraderecha de trump; nobody is illegal on stolen land; stop separating families; students fight back against ice; school is 4 education not deportation; we are a nation of immigrants / we must unite; resist; chingue a su madre la migra / fuck ice; stop breaking up families; stop trying to erase us; update the immigration registry now / pass bill s.2606; protect our farm workers; we are not the immigrants; ley del registro / hr1511/s2606; illegal immigration started in 1492; having dreams is not illegal; indigenous resistance / we were already here; as a apache there's no ""aliens"" on stolen land; we are not taking your job ai is; no more deportations / abolish ice; the real criminal is in office [donald trump]; no muerdas las [manos] que te dan a comer; soy la voz que muchos no pueden usar; legalization for all / no border militarization; legalizacion para todos / solidaridad con inmigrantes; we speak for those who can't; defund ice / stop raid; no somos criminales; usa/mexico flag; migra out of california; being brown is not a crime; hands off haitian immigrants; my people are people too; solidarity has no borders; we are not criminals / we build your houses / we cut your grass / we cook your food / we clean your house / we pay taxes / we make america great / brown & proud; hoy lucho para existir manana; viva la solidaridad con la clasa obrera inmigrante / no a las deportaciones / si a la ciudadania para todos los inmigrantes; you love our food, you love our music, you love our culture, then come love and support our people; ni trump / ni migra; god is love",Anti-Trump
"healthcare is a human right not just for the rich and white; palestine flag; free all political prisoners; nadie es ilegal / [monarch butterfly] / no more deportations; no one is ""illegal"" / fight trump's agenda; free palestine; from palestine to the philippines stop the u.s. war machine; all out against trump / fight the backward agenda; the people united will never be defeated; end occupation; immigrants make america great; no hate! no fear! immigrants are welcome here!; make america think again; ban bigotry not books; divest don't follow the rest; defunding education = defunding progress; no more stolen sisters; power to the people!; stonewall was a riot!",Anti-Trump
love trumps hate; no one is free when others are oppressed / stop project 2025; in this country we hate nazis; fight like a girl / take back your rights; hate never made america great; stronger together / equal rights for all; men of quality don't fear equality; silence is compliance / fight fascism,Unclear
people matter; indifference is violence; nobody is illegal on stolen land; jesus [heart] the people you hate; resist while you can / trump will come for you next; no human is illegal; don't mess with my friends; your silence = complicit; fight back!,Anti-Trump
usa flag; maga; trump flag,Pro-Trump
resist trump,Anti-Trump
mexico flag; education not deportation; immigrants make america great; gay latinos luchan; love still trumps hate; hate never made america great; no trump no kkk no fascist usa; the system has failed us; black brown pride; reject fascism; planet over profit; si se puede! si se puede!; without us america would not be great; no one is illegal on stolen land; raising my voice for those who can't; our voices together cannot be silenced; viva mexico!; viva la raza!; education not deportation; united for humanity; reject facism,Anti-Trump
"immigrants make america great; no one is illegal on stolen land; rainbow pride flag; we all bleed the same blood; never again [wire hanger]; channel your fear into action; protect our neighbors, protect our futures!; hate never made america great; stop fascist trump; do not bite the hand that feeds you; usa/mexico flag; venezuela flag; you can't love the culture and not support the people; jesus was a foreigner not a white man; stop separating families; nobody is illegal on stolen land; the most dangerous immigrants arrived in 1492; keep families together; families belong together; we raise our voice for the undocumented; somos la voz de los que no pueden gritar; native americans support our latinos / viva mexico; viva la raza; unidos jamas seremos vencidos; resist hate; seeking safety is not a crime; nebraska is for all of us [rainbow pride flag]; respect my existence or expect resistance [trans pride flag] [rainbow pride flag]; hate is a choice of the weak; no kkk / no fascist usa; stop fascist trump / join dsa; immigrants have the right to live!; a world without trans people has never existed and never will; my body my choice; save a pillow / punch a nazi; ice me la pela; mexico flag; real men are feminists",Anti-Trump
families belong together; deport trump; no human is illegal on stolen land; immigrants make america great; a woman's place is in the revolution; stolen land built on the backs of immgrants; families belong together / compassion not deportation; hate never made america great; no one is illegal on stolen land; disobey / their power comes from obedience; fuck off of our rights; we are all human / stop the deportation; deny / defend / depose; mexicans are native not illegal; they got money 4 wars but can't feed the poor; mexico flag,Unclear
stop spreading hate; mexico flag; say no to racism; the people united will defend immigrant families; we speak for the ones that can't; the people will defeat trump's extreme right agenda; speak for those who can't / no one is illegal on stolen land / ignorance is a choice / jesus was an immigrant / jesus was brown; chinga tu maga; hate never made america great; viva mexico; education not deportation; america is great because of immigrants; privilege is when you think something is not a problem because you aren't affected personally; don't bite the hand that feeds you; families belong together; we are all immigrants; fund the people's needs not the war machine; no hate no fear refugees are welcome here!; stand with immigrant families; immigrants make america great; if youre not mad youre not paying attention; fight ignorance not immigrants; hate never made america great; proudly raised by an immigrant; dont bite the hands that feeds you; the dream is not only for the rich and the white; we speak for the ones who cant; the people with defeat trumps extreme right agenda; defend immigrants deport nazis; care not cages; why dont you kick yourself out your an immigrant too,Anti-Trump
"no human is illegal on stolen land; native youth deserve a better future; make white supremacists scared again; deny, defend, depose / we are not immigrants; trump questions our citizenship / not so golden; deportation is inhumane; palestine flag",Unclear
"el pueblo unido jamas sera vencido; mexico flag; chinga la migra; no human is illegal / abolish ice; how can you ban people; protect immigrants [monarch butterfly]; the real criminal is in office [donald trump]; viva zapata; fuck ice; born from dreams that crossed borders / aqui estamos; migra, policia, la misma porqueria [pig]; we speak for those who can't; ice out of the bay!; si se puede!; stop the raids / f*** ice; no one is illegal on stolen land",Unclear
"mexico flag; ice gtfo; braun! escucha! estamos en la lucha!; don't bite the hand that feeds you; immigrants make america great; racist [governor mike braun]; we are all immigrants on stolen land; el pueblo derrotara la agenda ultraderecha de trump; ""illegal"" immigrants paid $96 billion in taxes in 2022; workers should have power not the billionaires; ice: stay the hell out of our city; el publo unido jamas sera vencido!; somos la voz de aquellos que son silenciados por el miedo; migration is not illegal [butterfly]; god is watching / raids are inhumane; nobody is illegal on stolen land; dinero para el pueblo, no para la guerra; defend daca; my color isn't a crime; nuestros vecinos se quedaran; no one is illegal on stolen land; honduras flag; fight ignorance not immigrants; don't deport my students; families belong together; maga christians are quick to deport brown migrants while their ""savior"" was one too; silence is a political act; keep ice out; immigrants are welcome here say it loud say it clear!; i am not dangerous; who is the real criminal / donald trump; enough is enough; migration is not illegal",Unclear
trans pride flag; fuck trump; when trans lives are under attack what do we do! stand up fight back!,Anti-Trump
puerto rico flag; no human is illegal; my parents are not criminals; fuck trump!; power to the people! no one is illegal!,Anti-Trump
"mexico flag; don't bite the hand that feeds you; immigrants make america great; abolish ice; fight ignorance not immigrants; mis padres no son criminales; stop the raids; we speak for those who can't; fuck donald trump; ice melts; fdt / viva mexico; fuck ice; families belong together; school is for education not deportation; chinga la migra; we all are immigrants on stolen land; the holocaust started as ""mass deportation""; ice me la pela; fuck trump; you can't fuck w/the culture and not support the people; immigrants built this nation; if you're not angry you're not paying attention; hija de inmigrantes; if this was really about getting rid of ""criminals"" then why did you elect one as president?; defund ice; respect our existence or expect our resistance; dejen de separar a las familias; fuck ice / fuck borders / families belong together; stop racism; families have no borders; education not deportation; usa/mexico flag; the only minority destroying america are billionaires; it's not even politics - it's human decency; he's only going to deport criminals / since when are children criminals?; the real criminal is trump; stop pretending your racism is patriotism [mexico flag]; make america mexico again",Anti-Trump
mexico flag; guatemala flag; say no to evil dictator copycats [adolph hitler] [elon musk] [donald trump]; usa/mexico flag; viva la raza,Unclear
it's not even politics - it's human decency; chinga tu maga; mexico flag; trump is building concentration camps; fight today for a better tomorrow; nobody is illegal on stolen land; viva mexico flag,Unclear
it is our duty to fight for our freedom / we have nothing to lose but our chains; no human is illegal; money for the people's needs not the war machine; the people will defeat trump's billionaire agenda; detain all nazis; health care is a human right; free palestine; generation after generation until total liberation [palestine flag]; trans pride flag; we won't go backward; communist flag,Pro-Trump
